lat,long,ชื่อ,ประเภท,เวลาให้บริการ,จันทร์,อังคาร,พุธ,พฤหัสบดี,ศุกร์,เสาร์,อาทิตย์,สิทธิประกันสุขภาพ 30 บาท,สิทธิประกันสังคม,เบอร์โทรศัพท์,"
ที่อยู่",Image URL,Class,P_30bant,P_ss,Search
7.200113,100.598257,เฮลท์แคร์คลินิกการพยาบาลและการผดุงครรภ์,คลินิกการพยาบาลและการผดุงครรภ์,,12.00-21.00 น.,12.00-21.00 น.,12.00-21.00 น.,12.00-21.00 น.,12.00-21.00 น.,12.00-21.00 น.,ปิด,รักษา 32 อาการ/กลุ่มโรค,ไม่รับสิทธิ์,082 103 7637,34/4 ถ.ชัยมงคล ถ.บ่อยาง อ.เมือง จ.สงขลา 90000,https://img2.pic.in.th/pic/1bdaaaf133efe3527.jpg,30 บาท,รักษา 32 อาการ/กลุ่มโรค,ไม่มี,"ปวดตา เวียนศีรษะ ปวดหัว ปวดข้อ ปวดกล้ามเนื้อ ปวดประจำเดือน ปวดท้อง ท้องเสีย ท้องผูก ริดสีดวงทวาร ปัสสาวะแสบขัด ตกขาว ทำแผล ผื่นผิวหนัง	 อาการทางตา อาการทางหู	ไข้ ไอ เจ็บคอ ติดเชื้อโควิด19 น้ำมูก คัดจมูก ตุ่มน้ำใสในปาก แผลน้ำร้อนลวกไม่รุ่นแรง อาการคันผิวหนัง/ศีรษะ อาการจากพยาธิ อาาการจากหิด เหา ฝี หนองที่ผิวหนัง อาการชา เหน็บชา อาการนอนไม่หลับ เมารถ เมาเรือ เบื่ออาหารโดยไม่มีโรคร่วม คลื่นไส้ อาเจียน อาการแพ้ยา แพ้อาหารเล็กน้อย แมลงกัดต่อย อาการเจ็บป่วยจากการสูบบุหรี่"
7.1946853,100.6008817,นเรนทร์ฤทธิ์ คลินิกเวชกรรม สาขา2,คลินิกเวชกรรม,,11.00-20.00 น.,11.00-20.00 น.,11.00-20.00 น.,11.00-20.00 น.,11.00-20.00 น.,11.00-20.00 น.,11.00-20.00 น.,รักษา 32 อาการ/กลุ่มโรค,ไม่รับสิทธิ์,080 593 8717,43/2 ถนนทะเลหลวง ต.บ่อยาง อ.เมือง จ.สงขลา 90000,https://img2.pic.in.th/pic/2cb1a981af9f3e97c.jpg,30 บาท,รักษา 32 อาการ/กลุ่มโรค,ไม่มี,"ปวดตา เวียนศีรษะ ปวดหัว	 ปวดข้อ ปวดกล้ามเนื้อ ปวดประจำเดือน ปวดท้อง ท้องเสีย ท้องผูก ริดสีดวงทวาร ปัสสาวะแสบขัด ตกขาว ทำแผล ผื่นผิวหนัง	 อาการทางตา อาการทางหู	ไข้ ไอ เจ็บคอ ติดเชื้อโควิด19 น้ำมูก คัดจมูก ตุ่มน้ำใสในปาก แผลน้ำร้อนลวกไม่รุ่นแรง อาการคันผิวหนัง/ศีรษะ อาการจากพยาธิ อาาการจากหิด เหา ฝี หนองที่ผิวหนัง อาการชา เหน็บชา อาการนอนไม่หลับ เมารถ เมาเรือ เบื่ออาหารโดยไม่มีโรคร่วม คลื่นไส้ อาเจียน อาการแพ้ยา แพ้อาหารเล็กน้อย แมลงกัดต่อย อาการเจ็บป่วยจากการสูบบุหรี่"
7.1943383,100.600279,คลินิกเฉพาะทางด้านเวชกรรม สาขาเวชศาสตร์ครอบครัวหมอปวริศ 2,คลินิกเวชกรรม,,11.00-22.00 น.,11.00-22.00 น.,11.00-22.00 น.,11.00-22.00 น.,11.00-22.00 น.,11.00-22.00 น.,11.00-22.00 น.,รักษา 32 อาการ/กลุ่มโรค,ไม่รับสิทธิ์,095 438 5461,40 ถนนทะเลหลวง ต.บ่อยาง อ.เมือง จ.สงขลา 90000,https://img5.pic.in.th/file/secure-sv1/33d7ebef18cec2465.jpg,30 บาท,รักษา 32 อาการ/กลุ่มโรค,ไม่มี,"ปวดตา เวียนศีรษะ ปวดหัว	 ปวดข้อ ปวดกล้ามเนื้อ ปวดประจำเดือน ปวดท้อง ท้องเสีย ท้องผูก ริดสีดวงทวาร ปัสสาวะแสบขัด ตกขาว ทำแผล ผื่นผิวหนัง	 อาการทางตา อาการทางหู	ไข้ ไอ เจ็บคอ ติดเชื้อโควิด19 น้ำมูก คัดจมูก ตุ่มน้ำใสในปาก แผลน้ำร้อนลวกไม่รุ่นแรง อาการคันผิวหนัง/ศีรษะ อาการจากพยาธิ อาาการจากหิด เหา ฝี หนองที่ผิวหนัง อาการชา เหน็บชา อาการนอนไม่หลับ เมารถ เมาเรือ เบื่ออาหารโดยไม่มีโรคร่วม คลื่นไส้ อาเจียน อาการแพ้ยา แพ้อาหารเล็กน้อย แมลงกัดต่อย อาการเจ็บป่วยจากการสูบบุหรี่"
7.1938855,100.5929708,ปวริศ เวลเนส สหคลินิก,คลินิกกายภาพบําบัด,,10.00-19.00 น.,10.00-19.00 น.,10.00-19.00 น.,10.00-19.00 น.,10.00-19.00 น.,10.00-19.00 น.,10.00-19.00 น.,นวดแผนไทย ประคบสมุนไพร มารดาหลังคลอด อบสมุนไพร,ไม่รับสิทธิ์,074 800 464,33 ถ.พัทลุง ต.บ่อยาง อ.เมือง จ.สงขลา 90000,https://img2.pic.in.th/pic/41d8569d7c9abdf06.jpg,30 บาท,นวดแผนไทย ประคบสมุนไพร มารดาหลังคลอด อบสมุนไพร,ไม่มี,นวดแผนไทย ประคบสมุนไพร มารดาหลังคลอด อบสมุนไพร
7.147341,100.624268,นเรนทร์ฤทธิ์ คลินิกเวชกรรม,คลินิกเวชกรรม,,09.00-16.00 น.,09.00-16.00 น.,09.00-16.00 น.,09.00-16.00 น.,09.00-16.00 น.,09.00-16.00 น.,09.00-16.00 น.,รักษา 32 อาการ/กลุ่มโรค,ไม่รับสิทธิ์,064 049 5558,30/3 ม.5 ถ.สงขลานาทวี ต.เขารูปช้าง อเมือง จ.สงขลา 90000,https://img2.pic.in.th/pic/5ffeb53f01453c583.jpg,30 บาท,รักษา 32 อาการ/กลุ่มโรค,ไม่มี,"ปวดตา เวียนศีรษะ ปวดหัว	 ปวดข้อ ปวดกล้ามเนื้อ ปวดประจำเดือน ปวดท้อง ท้องเสีย ท้องผูก ริดสีดวงทวาร ปัสสาวะแสบขัด ตกขาว ทำแผล ผื่นผิวหนัง	 อาการทางตา อาการทางหู	ไข้ ไอ เจ็บคอ ติดเชื้อโควิด19 น้ำมูก คัดจมูก ตุ่มน้ำใสในปาก แผลน้ำร้อนลวกไม่รุ่นแรง อาการคันผิวหนัง/ศีรษะ อาการจากพยาธิ อาาการจากหิด เหา ฝี หนองที่ผิวหนัง อาการชา เหน็บชา อาการนอนไม่หลับ เมารถ เมาเรือ เบื่ออาหารโดยไม่มีโรคร่วม คลื่นไส้ อาเจียน อาการแพ้ยา แพ้อาหารเล็กน้อย แมลงกัดต่อย อาการเจ็บป่วยจากการสูบบุหรี่"
7.155572,100.59025,นาโรเวลเนส สหคลินิก,"คลินิกกายภาพบําบัด,คลินิกการแพทย์แผนไทย",,09.30-19.00 น.,09.30-19.00 น.,09.30-19.00 น.,09.30-19.00 น.,09.30-19.00 น.,09.30-19.00 น.,09.30-19.00 น.,นวดประคบ อบสมุนไพร กายภาพบำบัดคนไข้เกี่ยวกับอุบัติเหตุ ออกจากโรงพยบาล ภายในระยะ6เดือน,ไม่รับสิทธิ์,062 242 3688,242/7 หมู1 ต.เขารูปช้าง อ.เมือง จ.สงขลา 90000,https://img2.pic.in.th/pic/6fde0a6ad7c020a3a.jpg,30 บาท,นวดประคบ อบสมุนไพร กายภาพบำบัดคนไข้เกี่ยวกับอุบัติเหตุ ออกจากโรงพยบาล ภายในระยะ6เดือน,ไม่มี,นวดประคบ อบสมุนไพร กายภาพบำบัดคนไข้เกี่ยวกับอุบัติเหตุ ออกจากโรงพยบาล ภายในระยะ6เดือน
7.2027106,100.5930352,แฟมมิลี่แคร์ คลินิกเวชกรรม,คลินิกเวชกรรม,,08.00-18.00 น.,08.00-18.00 น.,08.00-18.00 น.,08.00-18.00 น.,08.00-18.00 น.,09.00-15.00 น.,09.00-15.00 น.,รักษา 32 อาการ/กลุ่มโรค,ไม่รับสิทธิ์,074 314 009,26 ถนนท่าปละท่า ต.บ่อยาง อ.เมืองสงขลา จ.สงขลา 90000,https://img2.pic.in.th/pic/75a08b87801b6f871.jpg,30 บาท,รักษา 32 อาการ/กลุ่มโรค,ไม่มี,"ปวดตา เวียนศีรษะ ปวดหัว	 ปวดข้อ ปวดกล้ามเนื้อ ปวดประจำเดือน ปวดท้อง ท้องเสีย ท้องผูก ริดสีดวงทวาร ปัสสาวะแสบขัด ตกขาว ทำแผล ผื่นผิวหนัง	 อาการทางตา อาการทางหู	ไข้ ไอ เจ็บคอ ติดเชื้อโควิด19 น้ำมูก คัดจมูก ตุ่มน้ำใสในปาก แผลน้ำร้อนลวกไม่รุ่นแรง อาการคันผิวหนัง/ศีรษะ อาการจากพยาธิ อาาการจากหิด เหา ฝี หนองที่ผิวหนัง อาการชา เหน็บชา อาการนอนไม่หลับ เมารถ เมาเรือ เบื่ออาหารโดยไม่มีโรคร่วม คลื่นไส้ อาเจียน อาการแพ้ยา แพ้อาหารเล็กน้อย แมลงกัดต่อย อาการเจ็บป่วยจากการสูบบุหรี่"
7.193622,100.597848,เฉลิมพงษ์คลินิกพลัส,สหคลินิก,,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,ไม่รับสิทธ์,รักษาทุกโรค ล้างแผล ตัดไหม (อาจจะมีค่าใช้จ่ายเพิ่มในบางกรณี),074 314 995,130 ถนนทะเลหลวง ต.บ่อยาง อ.เมือง จ.สงขลา 90000,https://img2.pic.in.th/pic/8f5684d0657d5da7f.jpg,ประกันสังคม,ไม่มี,รักษาทุกโรค ล้างแผล ตัดไหม (อาจจะมีค่าใช้จ่ายเพิ่มในบางกรณี),"รักษาทุกโรค ล้างแผล ตัดไหม (อาจจะมีค่าใช้จ่ายเพิ่มในบางกรณี) เวียนศีรษะ ปวดหัว	 ปวดข้อ ปวดกล้ามเนื้อ ปวดประจำเดือน ปวดท้อง ท้องเสีย ท้องผูก ริดสีดวงทวาร ปัสสาวะแสบขัด ตกขาว ทำแผล ผื่นผิวหนัง	 อาการทางตา อาการทางหู	ไข้ ไอ เจ็บคอ ติดเชื้อโควิด19 น้ำมูก คัดจมูก ตุ่มน้ำใสในปาก แผลน้ำร้อนลวกไม่รุ่นแรง อาการคันผิวหนัง/ศีรษะ อาการจากพยาธิ อาาการจากหิด เหา ฝี หนองที่ผิวหนัง อาการชา เหน็บชา อาการนอนไม่หลับ เมารถ เมาเรือ เบื่ออาหารโดยไม่มีโรคร่วม คลื่นไส้ อาเจียน อาการแพ้ยา แพ้อาหารเล็กน้อย แมลงกัดต่อย อาการเจ็บป่วยจากการสูบบุหรี่"
7.1559135,100.6019612,คลินิกทันตแพทย์รสวรรณ,คลินิกทันตกรรม,,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-20.00 น.,09.00-16.00 น.,09.00-16.00 น.,ไม่รับสิทธ์,อุดฟัน ถอนฟัน ขูดหินปูน ผ่าฟันคุด วงเงิน 900 บาท/ปี และสามารถทำฟันปลอม ได้ 5 ปี/ครั้ง,088 792 4886,99/168 ถ.กาญจนวนิช ต.เขารูปช้าง อ.เมือง จ.สงขลา 90000,https://img5.pic.in.th/file/secure-sv1/918d45c7550ae67ec.jpg,ประกันสังคม,ไม่มี,อุดฟัน ถอนฟัน ขูดหินปูน ผ่าฟันคุด วงเงิน 900 บาท/ปี และสามารถทำฟันปลอม ได้ 5 ปี/ครั้ง,อุดฟัน ถอนฟัน ขูดหินปูน ผ่าฟันคุด วงเงิน 900 บาท/ปี และสามารถทำฟันปลอม ได้ 5 ปี/ครั้ง เหงือกอักเสบ มีกลิ่นปาก ปวดฟัน มีแผลในปาก ตุ่มน้ำใสในปาก
7.1588717,100.6040832,คลินิกทันตกรรมยัวร์สไมล์,คลินิกทันตกรรม,,17.00-20.00 น.,17.00-20.00 น.,17.00-20.00 น.,17.00-20.00 น.,17.00-20.00 น.,09.00-16.30 น.,09.00-12.00 น.,ไม่รับสิทธ์,อุดฟัน ถอนฟัน ขูดหินปูน ผ่าฟันคุด วงเงิน 900 บาท/ปี,065 070 3009,39/45 หมู่10 ถนนกาญจนวนิช ต.เขารูปช้าง อ.เมือง จ.สงขลา 90000,https://img5.pic.in.th/file/secure-sv1/10742d7052a5e8f38a.jpg,ประกันสังคม,ไม่มี,อุดฟัน ถอนฟัน ขูดหินปูน ผ่าฟันคุด วงเงิน 900 บาท/ปี,อุดฟัน ถอนฟัน ขูดหินปูน ผ่าฟันคุด เคลือบฟูออนไลน์ วงเงิน 900 บาท/ปี เหงือกอักเสบ มีกลิ่นปาก ปวดฟัน มีแผลในปาก ตุ่มน้ำใสในปาก
